match_id,date,home_away,opponent,fulham_goals,opponent_goals,fulham_xg,opponent_xg,forecast_w,forecast_d,forecast_l,result
26602,2024-08-16 19:00:00,a,Manchester United,0,1,0.418711,2.04268,0.7599266049776225,0.17545404953666516,0.06461934037866433,l
26614,2024-08-24 14:00:00,h,Leicester,2,1,1.96218,0.857005,0.6324332791286383,0.21090807694589575,0.15665864091411663,w
26625,2024-08-31 14:00:00,a,Ipswich,1,1,1.18883,0.707048,0.21975849125577931,0.30556755572572336,0.4746739530151272,d
26634,2024-09-14 14:00:00,h,West Ham,1,1,2.88601,0.682719,0.8216234903369464,0.11788944031389463,0.060486652671030004,d
26646,2024-09-21 14:00:00,h,Newcastle United,3,1,3.21141,1.09768,0.783794802177279,0.12314084148193605,0.09306282518274302,w
26653,2024-09-28 14:00:00,a,Nottingham Forest,1,0,1.43592,0.614351,0.15892991672061316,0.2698670617064881,0.5712030215274587,w
26664,2024-10-05 14:00:00,a,Manchester City,2,3,2.75846,1.36684,0.1681754163446507,0.16518827594864835,0.6666360696472966,l
26673,2024-10-19 14:00:00,h,Aston Villa,1,3,2.63074,1.43595,0.6308242891047378,0.1757207435248189,0.1934548357352919,l
26687,2024-10-26 16:30:00,a,Everton,1,1,1.49531,0.884845,0.2228832147097761,0.26194530571256275,0.5151714794986467,d
26693,2024-11-04 20:00:00,h,Brentford,2,1,1.43017,0.739231,0.5355786829703714,0.2709625461936587,0.1934587707929505,w
26706,2024-11-09 15:00:00,a,Crystal Palace,2,0,2.25331,1.96037,0.3452723462997253,0.19944294157661754,0.45528469084769624,w
26717,2024-11-23 15:00:00,h,Wolverhampton Wanderers,1,4,0.717158,1.33903,0.20014926961079627,0.2836410121689354,0.5162097182028248,l
26729,2024-12-01 13:30:00,a,Tottenham,1,1,1.57274,1.01086,0.24347986227160895,0.25256454667375006,0.50395559089763,d
26736,2024-12-05 19:30:00,h,Brighton,3,1,0.666644,1.09939,0.22135501214570075,0.3212658625799518,0.45737912527321345,w
26749,2024-12-08 14:00:00,h,Arsenal,1,1,0.150988,2.4333,0.014636389567109272,0.10582241370813032,0.8795411476877028,d
26752,2024-12-14 15:00:00,a,Liverpool,2,2,1.2862,2.09698,0.5603612086756944,0.20918022538286185,0.2304585587343252,d
26763,2024-12-22 14:00:00,h,Southampton,0,0,1.25255,0.280031,0.6192068517020634,0.2986396699300432,0.0821534783609488,d
26775,2024-12-26 15:00:00,a,Chelsea,2,1,1.77929,1.55626,0.33960088171707414,0.22745198704305528,0.43294713028127135,w
26786,2024-12-29 15:00:00,h,Bournemouth,2,2,0.961566,1.70692,0.21163422677552615,0.23935728655529456,0.5490084861969091,d
26796,2025-01-05 14:00:00,h,Ipswich,2,2,2.65469,1.4434,0.6334980486702022,0.17440289459550437,0.19209890924483242,d
26808,2025-01-14 19:30:00,a,West Ham,2,3,2.83581,0.937322,0.09604427972412635,0.1388602894295088,0.7650950953557155,l
26817,2025-01-18 15:00:00,a,Leicester,2,0,2.36823,0.676934,0.08823696704914366,0.16048417668097528,0.7512788215820683,w
26826,2025-01-26 19:00:00,h,Manchester United,0,1,0.560571,0.201988,0.3689657528866716,0.52080315427587,0.11023109283745854,l
26839,2025-02-01 15:00:00,a,Newcastle United,2,1,1.60881,1.22716,0.2915187499844374,0.24585263074782898,0.4626286190496464,w
26845,2025-02-15 15:00:00,h,Nottingham Forest,2,1,2.20993,0.331301,0.8091155271884435,0.14789574927175217,0.042988709305397936,w
26856,2025-02-22 15:00:00,h,Crystal Palace,0,2,0.23426,1.46203,0.05682676794773176,0.25174963099349074,0.6914236010006669,l
26867,2025-02-25 19:30:00,a,Wolverhampton Wanderers,2,1,1.43473,0.928973,0.24395262316137237,0.267960168178147,0.4880872086154463,w
26873,2025-03-08 15:00:00,a,Brighton,1,2,0.708227,1.94417,0.6660881758571456,0.20651226051135857,0.12739956096486893,l
26886,2025-03-16 13:30:00,h,Tottenham,2,0,1.03966,1.40865,0.27796848155636406,0.2676554421621999,0.45437607624595777,w
26892,2025-04-01 19:45:00,a,Arsenal,1,2,1.44206,2.30189,0.5682488145992636,0.19713263991654062,0.2346185213460404,l
26906,2025-04-06 13:00:00,h,Liverpool,3,2,1.72764,1.40638,0.452076646303876,0.23385961820889933,0.3140637348980767,w
26912,2025-04-14 19:00:00,a,Bournemouth,0,1,1.07203,1.8577,0.557401080673407,0.226040091591432,0.21655882627381082,l
26926,2025-04-20 13:00:00,h,Chelsea,1,2,0.306122,0.75172,0.13844623837315703,0.4318179541953184,0.4297358074315194,l
26940,2025-04-26 14:00:00,a,Southampton,2,1,1.9956,0.935581,0.1695041193380124,0.21024541518064113,0.6202504617204441,w
26946,2025-05-03 11:30:00,a,Aston Villa,0,1,0.702787,1.29013,0.5060186466121268,0.29087586320791603,0.20310549016950707,l
26953,2025-05-10 14:00:00,h,Everton,1,3,1.20869,1.32604,0.33856225747331165,0.26730981640602913,0.3941279261011685,l
26964,2025-05-18 14:00:00,a,Brentford,3,2,1.61741,2.43045,0.5569708672070183,0.19151861815747265,0.25151046609660055,w
26981,2025-05-25 15:00:00,h,Manchester City,0,2,2.21797,2.45923,0.3622315851378186,0.18916328783892195,0.4486050559826163,l
